Date,RARP,RP_naive,VT_naive
2012-06-26,0.0038090945288168144,0.004168442986974364,0.004168442986974364
2012-06-27,0.007155825135694016,0.0077448923323462475,0.0077448923323462475
2012-06-28,-0.001689622676613567,-0.0018300021969759976,-0.0018300021969759976
2012-06-29,0.01969183498793612,0.021470271110056498,0.021470271110056498
2012-07-02,0.00196503372696526,0.0021253145809540927,0.0021253145809540927
2012-07-03,0.004970217254739851,0.005210968121956625,0.005210968121956625
2012-07-05,-0.003758433253057092,-0.0039411044503103,-0.0039411044503103
2012-07-06,-0.0075819349244653726,-0.007931988163823787,-0.007931988163823787
2012-07-09,-0.0013121409364146076,-0.0013760791274911274,-0.0013760791274911274
2012-07-10,-0.006527297431672708,-0.0068193445061245335,-0.0068193445061245335
2012-07-11,-1.1938951192291825e-05,-1.3433933209341474e-05,-1.3433933209341474e-05
