Date,_GSPC
2013-05-24,1.0
2013-05-28,1.0
2013-05-29,1.0
2013-05-30,1.0
2013-05-31,1.0
2013-06-03,1.0
2013-06-04,1.0
2013-06-05,1.0
2013-06-06,1.0
2013-06-07,1.0
2013-06-10,1.0
2013-06-11,1.0
2013-06-12,1.0
2013-06-13,1.0
2013-06-14,1.0
2013-06-17,1.0
2013-06-18,1.0
2013-06-19,1.0
2013-06-20,1.0
2013-06-21,0.9458465841176532
2013-06-24,0.9470546235052064
2013-06-25,0.9365394184037577
2013-06-26,0.9314843659526949
2013-06-27,0.9320861112072691
2013-06-28,0.9408122483969298
2013-07-01,0.9459232525116694
2013-07-02,0.9442366274780533
2013-07-03,0.9445824314008333
2013-07-05,0.9464444528214528
2013-07-08,0.9399106884284125
2013-07-09,0.938487152266392
2013-07-10,0.9355082308633622
2013-07-11,0.9354792176232123
2013-07-12,0.9245281506938827
2013-07-15,0.9270450953966446
2013-07-16,0.9401038512673323
2013-07-17,0.9424489748463067
2013-07-18,0.946612816078601
2013-07-19,0.975671484138871
2013-07-22,0.9775918493983382
2013-07-23,0.9885835408752218
2013-07-24,0.9881659587012962
2013-07-25,0.9862578678785557
2013-07-26,0.9871403517897674
2013-07-29,0.9933925889929075
2013-07-30,0.9915192355431632
2013-07-31,0.9915711834976302
2013-08-01,0.9926150037609835
2013-08-02,0.9816815310471821
2013-08-05,0.9825809793860643
2013-08-06,0.9820966879406834
2013-08-07,0.980288641720804
2013-08-08,0.9790023560572465
2013-08-09,0.9816209157160097
2013-08-12,0.9808731351465781
2013-08-13,0.9833851007891043
2013-08-14,0.9902288770230641
2013-08-15,0.990492707058351
2013-08-16,0.9727707925459921
2013-08-19,0.9756555017374864
2013-08-20,0.9723490472153236
2013-08-21,0.9724791865274369
2013-08-22,0.9712756634009163
2013-08-23,0.9677734501948372
2013-08-26,0.9770897538536194
2013-08-27,0.9762289969777886
2013-08-28,0.9562804469123889
2013-08-29,0.9585016711079029
2013-08-30,0.9590685873816714
2013-09-03,0.9690255082750252
2013-09-04,0.9686759604152885
2013-09-05,0.9646983971727257
2013-09-06,1.0
2013-09-09,1.0
2013-09-10,1.0
2013-09-11,1.0
2013-09-12,1.0
2013-09-13,1.0
2013-09-16,1.0
2013-09-17,1.0
2013-09-18,1.0
2013-09-19,1.0
2013-09-20,1.0
2013-09-23,1.0
2013-09-24,1.0
2013-09-25,1.0
2013-09-26,1.0
2013-09-27,1.0
2013-09-30,1.0
2013-10-01,1.0
2013-10-02,1.0
2013-10-03,1.0
2013-10-04,1.0
2013-10-07,1.0
2013-10-08,1.0
2013-10-09,1.0
2013-10-10,1.0
2013-10-11,1.0
2013-10-14,1.0
2013-10-15,1.0
2013-10-16,1.0
2013-10-17,0.9865733000069602
2013-10-18,0.9861595487931258
2013-10-21,0.9879435016762268
2013-10-22,0.9887534316790249
2013-10-23,1.0
2013-10-24,1.0
2013-10-25,1.0
2013-10-28,1.0
2013-10-29,1.0
2013-10-30,1.0
2013-10-31,1.0
2013-11-01,1.0
2013-11-04,1.0
