Date,RARP_RI,RP_naive,VT_naive
2013-08-07,-0.00010645878823524208,-0.000117289982316444,-0.0001383769914038918
2013-08-08,0.0007595280697197688,0.00047754506554028973,0.00045159811576516297
2013-08-09,-0.00014061691422107285,-4.566248260361957e-05,-5.9943156722406617e-05
2013-08-12,0.0003148588075503108,0.00035866824148870477,0.0003383927424011029
2013-08-13,-0.0007354031691283328,-0.0005470736002857261,-0.0004101209303187988
2013-08-14,-0.00015980078873362643,3.150858142015697e-05,1.0659729588855199e-05
2013-08-15,-0.0011512237615685557,-0.00039496678767966695,-0.0003353409778382236
2013-08-16,-0.0004728303638256631,-0.00020704296606297484,-0.0001634967182664812
2013-08-19,-0.0011044774474518728,-0.0006813743757355662,-0.0006003017395380972
2013-08-20,0.0010495167962660012,0.0006811847257205891,0.0005748427971760648
2013-08-21,-0.0010418357814739835,-0.0005621036782519794,-0.00042659701177790864
2013-08-22,0.0006453005951537745,0.00014740885324542562,7.056206159136678e-05
2013-08-23,0.0011779914547711632,0.000801648559662717,0.0007080866717164891
2013-08-26,-0.00033221733103553275,-0.00021890602905772034,-0.00019432614720477507
2013-08-27,-0.000699335289387173,-9.361675013660822e-05,-8.949891968794315e-05
2013-08-28,8.825841908020761e-06,-6.201353174387862e-05,-6.3194160916381e-05
2013-08-29,0.0002683218065597296,0.00021464438807876078,0.00021425782389810418
2013-08-30,-0.00026803590642267066,-0.00011385364894577721,-0.00011307821396692356
2013-09-03,-5.165591045409899e-05,-0.00010172543719959156,-9.033054108211681e-05
2013-09-04,0.00017166983262829162,-7.570396867351368e-05,-9.231100567116913e-05
2013-09-05,-0.0008977796456578803,-0.000613225031182106,-0.0005330208759486035
2013-09-06,0.0008182316525011698,0.0005294845322169187,0.00045363577617289806
2013-09-09,0.0007812574648716579,0.00019935652156338878,0.00010859002809293481
2013-09-10,-0.00012014474706893516,-0.00024280517553795146,-0.00022811288145615087
2013-09-11,0.0005955632261644617,0.0003378336415374225,0.00025797128732667164
2013-09-12,-0.000798234467158622,-0.0005238063714605782,-0.00048781749215891994
2013-09-13,0.0004986530303403631,0.00036741102391369253,0.0003355487906709957
2013-09-16,0.0002908993143641342,-4.525740714485298e-05,-0.0001253158450708421
2013-09-17,0.0004943471835150329,0.00023693891384256438,0.00018061769091850125
2013-09-18,0.0027934486181441856,0.0017431539769722896,0.0015056513391776597
2013-09-19,-0.00043872279332032106,-0.00026397016500318693,-0.00020205877101835587
2013-09-20,-0.0012197112651115495,-0.0007496184025309722,-0.0007222645171681216
2013-09-23,-0.00025449475735353494,-3.832183279172033e-05,-4.03052294903864e-05
2013-09-24,7.065738153451322e-05,0.00010599186433806994,9.155360073858383e-05
2013-09-25,5.04505780489398e-05,0.0001446404169470187,0.0001174634447533363
2013-09-26,4.7460047765722675e-05,-8.971538300467057e-05,-6.691142777700835e-05
2013-09-27,-0.0001113952271712176,5.635730722576149e-05,3.960648210765557e-05
2013-09-30,-0.00023394969785615216,7.119289126337939e-05,2.2994383548417233e-06
